Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,D,PI,114,5,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,E,PA,34,4,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,E,AI,52,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,E,AA,75,5,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,E,PN,94,5,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,E,PI,109,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,M,PA,9,4,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,M,AA,28,3,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,M,PN,73,4,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,M,PI,88,4,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,M,AI,99,5,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,P,PI,19,7,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,P,PN,39,7,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,P,AA,67,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,P,PA,79,7,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,P,AI,117,7,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,S,AI,7,2,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,S,PI,45,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,S,PN,58,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,S,AI,90,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,S,PA,119,6,B
